booking_id,customer_email,customer_id,dog_name,dog_breed,dog_weight,notes,booking_date_clean,start_time_clean,end_time_clean,is_cancelled_clean,is_repeat_customer_clean,has_cancel_reason,service_std,service_code_clean,location_clean,channel_std,source_system_clean,dog_gender_std,temperament_clean,price,discount,tax_rate
1,elinsven661@email.com,1040,Rocky,,30.5,first visit,2024-04-20,16:00:00,17:00:00,True,False,False,daycare,dc,stockholm,instagram,form,,reactive,25.0,0.1,0.25
3,,1193,Max,Golden Retriever,10.0,,2024-04-08,10:00:00,11:00:00,,True,False,vet_shuttle,vs,sundbyberg,website,excel,male,,,5.0,0.25
4,elinsven653@email.com,2966,Bella,Dachshund,,,2024-03-28,13:00:00,14:00:00,True,,False,,vs,stockholm,instagram,pos_export,male,,20.0,5.0,0.25
5,fridakar823@gmail.com,1219,Max,Labrador,,,2024-01-20,,18:00:00,,,False,nail_trim,,,,excel,,,15.0,0.0,0.25
6,,1193,Bella,MIXED,,,2024-07-02,16:00:00,00:00:00,False,,False,nail_trim,nt,stockholm,website,export_v1,male,anxious,15.0,0.0,0.25
8,anagarci844@company.se,1015,Rocky,Dachshund,,,2024-02-27,09:00:00,17:00:00,True,,True,vet_shuttle,vs,stockholm,partner,export_v1,,calm,20.0,0.0,0.25
10,oscarber830@gmail.com,1137,Milo,French Bulldog,,late pickup fee applied,2024-01-02,16:00:00,,True,,False,daycare,dc,nacka,phone,export_v2,female,,25.0,0.0,0.25
12,ahmedali81@company.se,1029,Max,Golden Retriever,,late pickup fee applied,2024-03-30,18:00:00,10:00:00,,False,True,boarding,bd,nacka,partner,,male,playful,25.0,0.1,0.25
13,emmajoha610@email.com,1019,Max,Poodle,,late pickup fee applied,2024-02-19,08:00:00,10:00:00,False,,True,training,,,email,,female,playful,35.0,0.0,0.25
14,fridakar823@gmail.com,1219,,,19.4,first visit,,,17:00:00,True,,False,daycare,dc,sthlm,phone,pos_export,female,,25.0,10.0,0.25
15,karinlun871@gmail.com,1180,Charlie,Beagle,,first visit,2024-02-03,10:00:00,11:00:00,True,,False,training,tr,solna,partner,form,,playful,35.0,0.1,0.25
16,fridakar823@gmail.com,1219,Charlie,Golden Retriever,,,2024-09-03,17:30:00,09:30:00,True,False,False,boarding,bd,sundbyberg,instagram,pos_export,,shy,60.0,0.0,0.25
17,oscarber791@outlook.com,1206,,Chihuahua,,VIP,2024-03-19,16:00:00,00:00:00,False,True,False,daycare,dc,huddinge,partner,,,,25.0,0.0,0.25
18,jonasnil950@outlook.com,1216,,MIXED,,first visit,2024-02-03,09:00:00,10:00:00,,False,True,training,tr,sundbyberg,phone,sheets,,calm,35.0,10.0,0.25
20,,1193,Rocky,Chihuahua,,,2024-02-18,10:00:00,18:00:00,False,False,False,grooming,,nacka,partner,form,,aggressive,,0.0,0.25
21,oskarber957@company.se,1211,Charlie,,,,2024-03-06,16:00:00,17:00:00,,False,True,training,tr,,email,form,,,35.0,0.0,0.25
23,noaherik391@email.com,1071,Max,Dachshund,,,2024-04-23,17:30:00,08:30:00,,False,True,boarding,bd,sthlm,instagram,export_v1,female,,,0.0,0.25
24,pedrosil274@gmail.com,1190,,,,first visit,2024-02-25,17:30:00,09:30:00,True,False,True,boarding,bd,solna,instagram,export_v1,female,shy,60.0,0.0,0.25
25,linchen129@outlook.com,1023,,,,VIP,2024-02-21,10:00:00,12:00:00,False,,False,training,,,website,form,male,,35.0,10.0,0.25
27,mikaelås460@gmail.com,1109,,,,VIP,2024-06-04,08:00:00,,,True,True,nail_trim,nt,,website,sheets,,anxious,15.0,0.0,0.25
28,norahans10@email.com,1121,Rocky,,11.5,first visit,2024-11-02,10:00:00,12:00:00,True,,True,daycare,dc,nacka,walk_in,form,,,35.0,5.0,0.25
29,,1193,Milo,German Shepherd,,VIP,2024-04-24,10:00:00,12:00:00,,,True,grooming,gr,täby,website,export_v2,,,40.0,0.0,0.25
30,,1193,Luna,MIXED,41.3,,2024-04-21,08:00:00,10:00:00,True,,True,training,tr,stockholm,walk_in,excel,,shy,35.0,0.0,0.25
31,anagarci713@email.com,1199,Rocky,Labrador,,,2024-03-18,10:00:00,,True,True,False,grooming,gr,stockholm,instagram,form,male,calm,40.0,5.0,0.25
32,,1193,,French Bulldog,,late pickup fee applied,2024-01-20,,18:00:00,,,True,nail_trim,nt,stockholm,partner,form,,playful,15.0,0.0,0.25
33,,1193,,Dachshund,,,2024-01-14,18:00:00,10:00:00,True,True,False,boarding,bd,huddinge,,export_v1,male,,,5.0,0.25
34,,1193,Max,Chihuahua,,,,08:00:00,09:00:00,,True,False,daycare,dc,stockholm,website,pos_export,,calm,25.0,10.0,0.25
35,oskarber667@gmail.com,1026,Coco,Chihuahua,,first visit,2024-02-13,13:00:00,21:00:00,True,,True,grooming,gr,huddinge,instagram,,,,40.0,0.0,0.25
36,fatimakh971@email.com,1025,,Golden Retriever,,,,10:00:00,12:00:00,,,True,training,tr,sthlm,instagram,export_v2,female,,35.0,0.0,0.25
37,pedrosil201@outlook.com,1066,,,42.9,,2024-01-28,13:00:00,21:00:00,True,,False,nail_trim,nt,nacka,phone,sheets,male,playful,15.0,0.0,0.25
38,,1193,,MIXED,,late pickup fee applied,2024-04-30,09:00:00,,True,,False,,tr,sthlm,phone,export_v2,female,reactive,35.0,0.0,0.25
39,,1193,,Chihuahua,,,2024-11-04,13:00:00,21:00:00,,,True,training,tr,sundbyberg,partner,,,,35.0,5.0,0.25
40,linchen175@outlook.com,1043,Charlie,,,,2024-04-27,19:00:00,11:00:00,,True,False,boarding,bd,täby,email,pos_export,,,60.0,0.0,0.25
42,,1193,Coco,German Shepherd,,first visit,2024-01-23,08:00:00,09:00:00,,,False,nail_trim,nt,huddinge,instagram,,,playful,15.0,0.1,0.25
44,mikaelås460@gmail.com,1109,,Chihuahua,,,2024-04-15,09:00:00,11:00:00,False,True,False,nail_trim,nt,solna,instagram,form,female,playful,15.0,0.0,0.25
45,oscarber281@gmail.com,1106,Rocky,,,,2024-01-12,08:00:00,10:00:00,True,True,False,vet_shuttle,vs,stockholm,phone,sheets,,,20.0,0.0,0.25
46,sofiaand850@gmail.com,1035,Charlie,Beagle,,,2024-03-13,09:00:00,10:00:00,,,True,training,tr,,instagram,export_v1,female,,35.0,5.0,0.25
48,oliviali817@company.se,1041,Coco,,9.3,,2024-03-26,08:00:00,,False,,False,vet_shuttle,vs,stockholm,partner,form,female,,20.0,0.0,0.25
49,mikaelås495@outlook.com,1117,Bella,Beagle,,late pickup fee applied,2024-04-01,08:00:00,16:00:00,,True,True,training,tr,solna,email,pos_export,female,,35.0,10.0,0.25
53,linchen811@email.com,1083,Coco,Labrador,,first visit,2024-05-04,17:30:00,08:30:00,False,True,False,boarding,bd,täby,website,export_v1,,,,0.0,0.25
54,,1193,Luna,Mixed,,first visit,2024-01-06,19:00:00,10:00:00,False,,False,boarding,bd,,,,,shy,60.0,0.0,0.25
55,davidsto885@company.se,1087,Rocky,Golden Retriever,,,2024-01-21,09:00:00,10:00:00,True,,False,nail_trim,nt,sundbyberg,instagram,export_v1,male,,15.0,0.1,0.25
56,fridakar22@company.se,1187,Max,Labrador,,late pickup fee applied,2024-01-20,17:30:00,08:30:00,,False,False,boarding,bd,stockholm,website,excel,female,playful,60.0,0.1,0.25
59,,1193,,Beagle,14.2,VIP,2024-08-02,09:00:00,18:00:00,,False,True,training,tr,täby,,pos_export,male,playful,35.0,5.0,0.25
60,mariamal643@email.com,1080,Luna,mix,,VIP,2024-01-22,08:00:00,10:00:00,True,True,True,training,tr,,phone,sheets,female,reactive,35.0,5.0,0.25
61,emmajoha446@gmail.com,1189,Charlie,French Bulldog,,late pickup fee applied,2024-02-08,19:00:00,10:00:00,True,,False,boarding,,stockholm,instagram,pos_export,female,,60.0,10.0,0.25
62,sofiaand383@gmail.com,1020,Coco,mix,,first visit,2024-02-19,13:00:00,14:00:00,False,,False,vet_shuttle,,täby,walk_in,excel,,aggressive,20.0,10.0,0.25
63,oliviali965@email.com,1215,,mix,,late pickup fee applied,2024-10-02,08:00:00,16:00:00,False,True,True,daycare,dc,solna,email,,,,25.0,0.0,0.25
64,fatimakh509@gmail.com,1042,Charlie,Labrador,,,2024-02-25,13:00:00,14:00:00,True,False,False,daycare,dc,stockholm,instagram,excel,,,,5.0,0.25
65,luispere308@outlook.com,2811,,Husky,26.2,,2024-02-01,10:00:00,11:00:00,False,False,False,vet_shuttle,vs,sthlm,,pos_export,,reactive,20.0,0.1,0.25
66,noaherik581@email.com,1198,Rocky,Husky,,,2024-01-28,08:00:00,10:00:00,False,,False,training,tr,solna,email,export_v2,female,,,5.0,0.25
67,ahmedali594@email.com,1004,Bella,,,,2024-03-30,10:00:00,12:00:00,,True,True,vet_shuttle,vs,nacka,phone,pos_export,male,aggressive,,0.0,0.25
69,oliviali438@outlook.com,1122,Charlie,Dachshund,,,2024-03-30,09:00:00,10:00:00,False,True,False,daycare,dc,sundbyberg,instagram,excel,,,25.0,0.0,0.25
71,,1193,Luna,MIXED,,first visit,2024-04-30,09:00:00,10:00:00,True,True,True,grooming,gr,stockholm,instagram,,female,playful,40.0,0.0,0.25
72,liamande293@outlook.com,1044,Milo,Chihuahua,,,2024-01-05,13:00:00,21:00:00,,,False,,dc,nacka,partner,,male,shy,25.0,0.1,0.25
74,luispere582@gmail.com,1167,Max,French Bulldog,,late pickup fee applied,2024-01-18,13:00:00,15:00:00,False,,False,nail_trim,nt,stockholm,email,pos_export,female,aggressive,15.0,0.0,0.25
75,ellaberg261@gmail.com,1110,,Poodle,,,2024-02-09,,18:00:00,True,False,True,vet_shuttle,vs,nacka,email,pos_export,,playful,20.0,10.0,0.25
76,davidsto731@email.com,1102,Luna,Dachshund,,,2024-02-08,09:00:00,17:00:00,True,False,True,grooming,gr,nacka,instagram,,male,reactive,40.0,0.0,0.25
77,mikaelås584@company.se,1009,,French Bulldog,,,2024-02-25,10:00:00,,True,True,True,training,tr,stockholm,instagram,excel,female,,35.0,0.0,0.25
78,oscarber275@company.se,1032,Coco,mix,,,2024-02-17,10:00:00,12:00:00,True,,False,nail_trim,nt,nacka,partner,pos_export,male,,15.0,5.0,0.25
79,jonasnil669@company.se,1114,,Poodle,,,2024-02-16,13:00:00,21:00:00,,,False,training,tr,nacka,instagram,export_v1,male,,35.0,0.0,0.25
80,anagarci248@company.se,2651,Max,Mixed,,late pickup fee applied,2024-01-22,10:00:00,12:00:00,False,True,False,daycare,dc,sthlm,email,pos_export,male,,25.0,0.0,0.25
85,davidsto391@company.se,1152,Bella,Husky,,VIP,2024-04-14,,15:00:00,False,,False,nail_trim,nt,huddinge,,export_v1,,shy,15.0,0.0,0.25
