customer_id,full_name,email,phone,country_clean,city_clean,postal_code,address_line1,address_line2,signup_date_clean,marketing_opt_in_clean,waiver_signed_clean,preferred_channel_clean,customer_type_clean,risk_flag_clean,language_clean,lifetime_value,pets_count,primary_pet_name,primary_pet_breed,primary_pet_dob,vet_provider,vaccination_status,notes
1003,Erik Holm,erikholm707@gmail.com,+44 7655742829,españa,stockholm,,Kungsgatan 1,,2023-01-12,False,False,partner,vip,,,,1 ,,Poodle,22 Apr 2023,,unknown,
1030, Sara Lind ,saralind838@email.com,+34 641062464,españa,stockholm,,Birger Jarlsgatan 85,,2023-05-10,True,True,walk-in,,high,,,1 ,,MIXED,05/01/2020,Evidensia,,
2438,Mikael Astrom,mikaelås991@email.com,+47 97621913,se,solna,54456,,Apt 19,2023-07-12,False,False,walk-in,corporate,high,sv,,2,Milo,German Shepherd,06 Jul 2021,,,allergic to peanuts
1204,MARIAM ALI,mariamal123@company.se,,united kingdom,stockholm,,Sveavägen 14,Floor 7,2023-08-12,False,False,,trial,medium,en,,1,,Poodle,10/20/2024,Local Vet,unknown,
1064,David Stone,davidsto949@outlook.com,,spain,stockholm,38157,,Floor 9,2023-09-10,False,False,website,new,,sv,,2,,,,AniCura,,allergic to peanuts
1189, EMMA JOHANSSON ,emmajoha446@gmail.com,+34 650530014,spain,nacka,,Kungsgatan 60,Floor 3,2023-09-10,False,False,phone,new,high,en,,,,Golden Retriever,16-09-2024,AniCura,unknown,
1180,Karin Lund,karinlun871@gmail.com,+47 91839331,portugal,täby,17017,,,2023-10-01,True,False,,vip,low,sv,,2,,MIXED,18/04/2020,AniCura,up_to_date,prefers morning drop-off
1140,Nora Hansen,norahans581@company.se,,pt,,,Storgatan 57,,2023-10-07,,True,website,,,,,1 ,Rocky,Golden Retriever,12/10/2022,Evidensia,UPTODATE,moved address
1148,KARIN LUND,karinlun403@company.se,,pt,,,,,2023-10-11,False,True,,vip,high,sv,,3,Charlie,Chihuahua,2024/04/11,,expired,
1143,Oscar Berg,oskarber109@gmail.com,+34 684110122,uk,täby,124 10,Skogsvägen 74,Apt 57,2023-10-15,False,True,phone,unknown,,en,,2,Max,French Bulldog,14/02/2021,AniCura,expired,invoice required
1099,maría lópez,maríalóp505@company.se,+44 7170285223,se,sundbyberg,,Ringvägen 17,,2023-10-15,False,True,email,returning,medium,en,,1 ,,German Shepherd,2024/00/12,AniCura,unknown,prefers morning drop-off
2595,Luis Perez,luispere513@gmail.com,+47 92032303,es,sundbyberg,130 36,,,2023-10-20,False,True,website,new,low,en,,3,Max,,2018/07/17,Evidensia,UPTODATE,moved address
1190,Pedro Silva,pedrosil274@gmail.com,+34 661524781,sverige,solna,35383,Ringvägen 73,Apt 27,2023-10-22,True,True,walk-in,unknown,,,,1,,Golden Retriever,2018.11.24,Local Vet,,invoice required
1069,mariam  ali,mariamal661@outlook.com,+46 70 974 14 95,sverige,solna,,Ringvägen 75,,2023-10-26,False,True,phone,vip,low,es,7205.2,3,Luna,Golden Retriever,Jan 29 2021,,,allergic to peanuts
1004,ahmed ali,ahmedali594@email.com,+34 673993471,sweden,täby,40828,,Floor 1,2023-10-30,False,False,instagram,trial,unknown,es,,two,Rocky,,23 Dec 2020,AniCura,,prefers morning drop-off
1138,KARIN  LUND,karinlun37@company.se,+34 674101392,,solna,,Skogsvägen 7,,2023-11-10,True,True,,new,,sv,,1,Rocky,Dachshund,2018/08/26,,,allergic to peanuts
1219,Frida Karlsson,fridakar823@gmail.com,+34 668716883,uk,solna,117 99,Skogsvägen 52,,2023-11-10,False,False,email,new,low,,7553.48,1 ,,,30/03/2023,Local Vet,,
1098,Oscar Berg,oscarber487@gmail.com,,no,sundbyberg,,,Floor 5,2023-11-15,False,False,email,new,medium,,9074.1,1 ,Charlie,MIXED,2023-05-04,Local Vet,,moved address
1043,lin  chen,linchen175@outlook.com,+47 98901136,no,sundbyberg,,Skogsvägen 29,Apt 73,2023-11-16,False,,walk-in,vip,unknown,es,,0,,German Shepherd,2022.09.11,AniCura,unknown,moved address
1151,pedro silva,pedrosil612@gmail.com,+46 70 681 27 26,sverige,sundbyberg,31671,Storgatan 85,Apt 39,2023-11-16,True,False,website,,low,,,1 ,,Labrador,05/10/2023,,,
1185,SOFIA ANDERSSON,sofiaand316@company.se,+47 93302963,uk,täby,18248,,,2023-11-16,False,False,website,returning,high,es,,1 ,,Mixed,,Local Vet,UPTODATE,allergic to peanuts
2475,luis p.,luispere745@outlook.com,+47 92004872,spain,täby,58823,Storgatan 75,,2023-11-17,False,False,,unknown,medium,,,,,,Aug 29 2021,,,
1060, ERIK HOLM ,erikholm746@gmail.com,+46 70 861 99 20,norway,täby,,Storgatan 14,,2023-11-18,,True,website,corporate,,es,,0,Rocky,,2023.05.05,,UPTODATE,
1071,noah  eriksson,noaherik391@email.com,,cn,sundbyberg,181 36,Skogsvägen 69,,2023-11-22,True,True,website,new,low,en,9103.83,1 ,Rocky,,28-07-2021,,up_to_date,prefers morning drop-off
2554,jonas nilsson,jonasnil31@outlook.com,+34 669459055,se,täby,,,Apt 4,2023-11-24,False,True,website,vip,unknown,,,,,Husky,04/25/2023,AniCura,expired,prefers morning drop-off
1033,ella berg,ellaberg171@email.com,,es,täby,,Skogsvägen 51,Apt 76,2023-11-24,False,False,walk-in,new,high,,3951.77,,Luna,Beagle,Jul 01 2021,Local Vet,unknown,
1005, Ana Garcia ,anagarci342@gmail.com,+46 70 368 30 66,portugal,solna,,Parkvägen 6,,2023-11-27,False,False,,unknown,low,sv,,two,Luna,Poodle,,,unknown,moved address
1186,Sara Lind,saralind438@company.se,+34 652029205,se,stockholm,,Sveavägen 17,Apt 6,2023-12-02,False,True,phone,unknown,high,es,,1,Milo,German Shepherd,2021/12/19,,UPTODATE,
1130,ahmed ali,ahmedali393@gmail.com,+47 91077963,uk,täby,105 53,,,2023-12-07,False,True,instagram,,high,en,4691.28,2,,Husky,May 13 2019,,up_to_date,
1104,Frida Karlsson,fridakar224@outlook.com,+46 70 486 83 30,uk,sundbyberg,15392,Skogsvägen 60,,2023-12-08,False,True,phone,new,medium,sv,,0,Rocky,Golden Retriever,21/04/2021,,expired,
1061,PEDRO SILVA,pedrosil783@outlook.com,+34 665419020,norway,täby,91625,Kungsgatan 42,Apt 69,2023-12-09,False,False,phone,,,sv,,1,Bella,Husky,Jun 08 2020,AniCura,,
1103,mariam  ali,mariamal203@outlook.com,+34 684424395,sweden,stockholm,,Parkvägen 40,,2023-12-10,True,True,partner,corporate,low,,,1,,mix,Mar 13 2022,,UPTODATE,prefers morning drop-off
1196,Ella Berg,ellaberg414@email.com,+46 70 999 63 21,united kingdom,stockholm,15573,Ringvägen 14,Apt 21,2023-12-10,False,True,phone,returning,unknown,es,6656.63,,Bella,Husky,06/13/2020,AniCura,,
1191, AHMED ALI ,ahmedali167@company.se,+44 7535858328,se,sundbyberg,147 25,,,2023-12-18,False,False,,,medium,,,3,Max,Golden Retriever,03/12/2018,,unknown,moved address
1194, pedro silva ,pedrosil440@email.com,+47 93178982,no,solna,31483,,Apt 71,2023-12-26,True,False,walk-in,returning,low,en,,0,,Beagle,,Local Vet,,prefers morning drop-off
1095,fatima khan,fatimakh311@gmail.com,+34 645005058,españa,nacka,114 89,Skogsvägen 44,,2023-12-29,True,False,,trial,low,en,,,Max,Golden Retriever,05/11/2024,Evidensia,,invoice required
1107,luis  perez,luispere760@company.se,+47 93575243,pt,täby,,Ringvägen 40,,2023-12-31,,True,website,,medium,sv,1899.86,0,,Beagle,27/02/2020,Evidensia,up_to_date,invoice required
1047,oscar berg,oscarber298@company.se,+44 7468006578,cn,nacka,,,Apt 65,2024-01-04,False,True,email,corporate,,,7326.87,0,Max,,2018-03-22,AniCura,,moved address
1083,LIN CHEN,linchen811@email.com,+47 93083343,portugal,huddinge,25644,,,2024-01-05,False,False,email,vip,unknown,,6963.09,1,,French Bulldog,,AniCura,expired,allergic to peanuts
1147,Ella Berg,ellaberg959@outlook.com,+47 98950226,sweden,stockholm,139 99,Storgatan 69,Floor 8,2024-01-05,True,True,walk-in,unknown,unknown,,,0,Charlie,Mixed,,,,
1090,Erik Holm,erikholm328@company.se,+47 96495887,sverige,nacka,148 83,,,2024-01-10,,False,phone,new,,,,0,Rocky,,,Evidensia,,prefers morning drop-off
1076,,ahmedali64@company.se,+44 7174516050,norway,stockholm,118 79,,Apt 5,2024-01-11,False,False,email,vip,,en,,two,Bella,Labrador,19-05-2022,AniCura,,prefers morning drop-off
1035,Sofia  Andersson,sofiaand850@gmail.com,+46 70 133 67 43,portugal,täby,,Birger Jarlsgatan 22,Floor 1,2024-01-11,False,,partner,trial,unknown,sv,,1 ,Milo,,01/26/2019,Evidensia,,allergic to peanuts
1094,,linchen925@gmail.com,+34 612634395,china,nacka,106 52,,Apt 71,2024-01-12,False,False,instagram,trial,unknown,es,,two,Bella,German Shepherd,19 Mar 2018,,unknown,prefers morning drop-off
1146,OSCAR BERG,oscarber577@email.com,,sweden,solna,,Skogsvägen 33,,2024-01-15,True,True,phone,trial,,,,1,,German Shepherd,Aug 10 2023,,,
