payment_id,booking_id,customer_email,paid_at_clean,refunded_at_clean,is_refunded,amount_gross_clean,tax_amount_clean,fee_amount_clean,amount_net_clean,currency_clean,status_clean,payment_method_clean,gateway_clean,card_brand_clean,country_of_card_clean
900001,648.0,saralind@gmail.com,,,False,35.0,,2.52,,SEK,failed,card,manual,,
900002,310.0,user3786@gmail.com,2024-05-02 09:25:00,,False,20.0,5.0,1.5,,EUR,failed,bank transfer,square,mastercard,se
900003,714.0,erikholm288@gmail.com,2024-02-03 14:17:00,,False,60.0,,3.24,56.76,SEK,payd,invoice,adyen,,
900004,1078.0,,2024-03-13 08:43:00,,False,40.0,10.0,2.66,,SEK,paid,bank transfer,,visa,se
900005,831.0,davidsto777@company.se,2024-01-02 20:35:00,,False,60.0,,,56.76,EUR,paid,swish,square,amex,
900006,406.0,jonasnil345@email.com,,,False,20.0,5.0,1.5,,EUR,paid,swish,klarna,amex,
900007,590.0,davidsto391@company.se,2024-02-25 17:20:00,,False,,6.25,,,SEK,payed,invoice,square,,pt
900008,148.0,maríalóp700@gmail.com,2024-01-18 22:00:00,,False,35.0,,2.52,,EUR,paid,cash,manual,,se
900009,672.0,,2024-01-24 13:14:00,,False,15.0,,,,SEK,paid,card,square,,
900010,661.0,mikaelås734@outlook.com,2024-03-21 08:12:00,,False,15.0,3.75,,,SEK,failed,cash,manual,,
900011,864.0,fridakar136@outlook.com,,,False,15.0,3.75,,,SEK,payed,cash,klarna,mastercard,no
900012,1025.0,maríalóp21@company.se,2024-03-10 19:31:00,,False,,5.0,1.5,,SEK,refunded,cash,,,
900014,219.0,user1999@gmail.com,2024-04-29 12:59:00,,False,35.0,8.75,1.5,,SEK,paid,card,stripe,amex,pt
900015,173.0,liamande@email.com,2024-02-02 08:51:00,,False,20.0,,,,SEK,refunded,invoice,stripe,visa,se
900016,45.0,karinlun@email.com,,,False,40.0,10.0,,,SEK,,swish,stripe,visa,
900017,313.0,oscarber@gmail.com,2024-03-17 21:42:00,,False,15.0,3.75,1.94,,EUR,payd,cash,square,,gb
900018,469.0,,2024-01-21 20:07:00,,False,40.0,10.0,2.66,,SEK,payed,card,adyen,,
900019,526.0,user6344@gmail.com,,,False,15.0,3.75,1.5,13.06,EUR,paid,swish,manual,visa,se
900020,251.0,ellaberg691@outlook.com,2024-04-18 22:52:00,,False,60.0,15.0,,,SEK,failed,swish,square,,
900021,182.0,user1998@gmail.com,,,False,25.0,,1.5,,SEK,pending,,klarna,,es
900022,919.0,user1278@email.com,2024-03-14 09:20:00,,False,15.0,,1.94,,SEK,refunded,invoice,manual,,es
900023,998.0,user9217@email.com,2024-02-26 08:39:00,,False,35.0,,2.52,,SEK,paid,swish,klarna,,
900024,641.0,oscarber650@outlook.com,2024-09-01 11:08:00,,False,40.0,10.0,,,SEK,payd,card,square,,
900025,916.0,oskarber667@gmail.com,,,False,60.0,15.0,3.24,56.76,EUR,failed,card,adyen,mastercard,
900026,1095.0,maríalóp@gmail.com,2024-02-29 14:21:00,2024-02-29 14:21:00,True,25.0,,,,EUR,refunded,klarna,manual,visa,
900027,759.0,,2024-03-02 14:49:00,,False,60.0,15.0,,,EUR,paid,klarna,adyen,,
900028,1047.0,user9578@email.com,2024-09-04 15:50:00,,False,15.0,,,13.06,SEK,refunded,swish,manual,,
900029,496.0,ellaberg952@outlook.com,2024-08-05 14:09:00,,False,15.0,3.75,1.5,13.06,SEK,,swish,manual,,
900030,392.0,anagarci517@outlook.com,2024-01-03 18:16:00,,False,60.0,15.0,,56.76,EUR,paid,invoice,manual,visa,
900031,1021.0,,2024-02-04 11:49:00,,False,15.0,3.75,,,EUR,pending,card,square,,no
900032,977.0,fridakar22@company.se,,,False,20.0,5.0,,,SEK,failed,bank_transfer,square,visa,es
900033,1168.0,elinsven661@email.com,2024-10-02 13:57:00,,False,35.0,,,,SEK,refunded,bank_transfer,adyen,mastercard,
900034,192.0,ahmedali594@email.com,2024-01-21 15:21:00,,False,40.0,,1.5,37.34,SEK,refunded,bank transfer,,amex,
900035,2581.0,ahmedali255@outlook.com,,,False,20.0,,,,SEK,payd,,klarna,,pt
900036,1101.0,user2607@email.com,,,False,15.0,3.75,1.94,,SEK,refunded,cash,adyen,,no
900037,1169.0,user9644@gmail.com,,,False,40.0,,,,,failed,swish,manual,amex,
900038,256.0,anagarci844@company.se,2024-03-25 13:45:00,,False,20.0,,2.08,,,pending,bank_transfer,square,visa,
900039,1046.0,norahans@email.com,2024-01-15 14:58:00,,False,,3.75,,,SEK,pending,cash,manual,visa,gb
900040,278.0,user5458@email.com,2024-01-01 13:40:00,,False,40.0,,,,EUR,paid,klarna,stripe,,es
900041,521.0,saralind135@email.com,2024-01-29 12:43:00,,False,20.0,5.0,,,SEK,refunded,bank_transfer,stripe,visa,
900042,218.0,,2024-03-02 13:30:00,,False,35.0,,2.52,32.48,SEK,failed,klarna,square,,es
900043,951.0,user2448@gmail.com,2024-01-27 14:55:00,,False,,,,32.48,SEK,paid,cash,manual,visa,es
900044,1136.0,linchen811@email.com,2024-02-02 19:43:00,,False,20.0,,,,SEK,failed,card,manual,,gb
