booking_id,external_booking_ref,customer_name,customer_email,service,service_code,booking_date,start_time,end_time,checkin_time,checkout_time,location,channel,source_system,staff_assigned,dog_name,dog_breed,dog_weight,dog_gender,temperament,medication,food_preference,special_instructions,promo_code,discount,price,tax_rate,is_cancelled,cancel_reason,is_repeat_customer,customer_rating,customer_feedback,created_at,updated_at,notes
1,,OSCAR BERG,oscarber650@outlook.com,nail trim,NT,12 Feb 2024,01:00 PM,21.00,,17:10,NULL,IG,export_v1,Ida,Max,Dachshund,,Unknown,playful,antibiotics,raw,NaN,NULL,,15,"0,25",0,,Y,3,,2024/02/04,2024/02/15,
1,,Elin Svensson,elinsven661@email.com,Daycare,DC,20 Apr 2024,16:00,17:00,,17:10,Stockholm,IG,form,Ida,Rocky,,30.5,n/a,reactive,NULL,kibble,,newyear,10%,25,0.25,yes,,N,,NaN,17 Apr 2024,,first visit
3,NaN,Emma Johansson,,vet shuttle,VS,08 Apr 2024,10:00 AM,11:00,,,Sundbyberg,website,excel,Clara,Max,Golden Retriever,10.0,M,NaN,,NULL,,VIP5,5,,0.25,n/a,NULL,Y,,,2024-04-08,12 Apr 2024,
4,,ELIN SVENSSON,elinsven653@email.com,NULL,VS,28/03/2024,13.00,14:00,,17.01,STOCKHOLM,IG,pos_export,Clara,Bella,Dachshund,,male,,,NULL,no treats,,5,20.0,,1,,,4,ok,2024-25-03,01/04/2024,
5,,Frida Karlsson,fridakar823@gmail.com,Nail Trim,n/a,20/01/2024,NULL,18:00,,,,,excel,n/a,Max,Labrador,unknown,U,n/a,antibiotics,hypoallergenic,,WELCOME10,0,15,"0,25",n/a,,NaN,2,ok,Jan 17 2024,20-01-2024,
6,NaN,Luis P.,NaN,nail trim,NT,02/07/2024,16:00,00:00,09:05,,STOCKHOLM,website,export_v1,Ida,Bella,MIXED,NaN,M,anxious,none,hypoallergenic,no treats,newyear,NaN,15,"0,25",No,NaN,,n/a,NULL,07-02-2024,2024-02-11,
7,,Nora Hansen,norahans@gmail.com,NAIL TRIM,NT,2024-23-04,01:00 PM,09:00 PM,,,Solna,IG,export_v2,Felix,,,7.1,male,reactive,antibiotics,NULL,,NaN,5,15,25%,NULL,NULL,N,5 ,great!,2024-04-16,2024/04/24,first visit
8,BK_V6DDD27D,ana garcia,anagarci844@company.se,Vet Shuttle,VS,2024/02/27,09.00,05:00 PM,,,Stockholm,partner,export_v1,Clara,Rocky,Dachshund,unknown,n/a,calm,,NULL,,,0,20,"0,25",1,no show,,NaN,n/a,2024.02.27,2024-02-29,n/a
9,,Ella Berg,ellaberg@email.com,TRAINING,TR,2024-03-23,,09:00 AM,09:05,n/a,Stockholm,instagram,pos_export,Johan,Charlie,mix,unknown,Unknown,,,raw,n/a,,0,35,,,no show,no,5 ,,03/18/2024,26/03/2024,
10,,Oscar Berg,oscarber830@gmail.com,DAYCARE,DC,2024-02-01,04:00 PM,25:00,,,Nacka,phone,export_v2,Anna,Milo,French Bulldog,,F,NaN,none,,separate from big dogs,VIP5,,25,,1,n/a,,NaN,ok,01/24/2024,2024.02.04,late pickup fee applied
