customer_id,full_name,email,phone,country,city,postal_code,address_line1,address_line2,signup_date,marketing_opt_in,preferred_channel,customer_type,risk_flag,lifetime_value,pets_count,primary_pet_name,primary_pet_breed,primary_pet_dob,emergency_contact,vet_provider,vaccination_status,waiver_signed,payment_terms,language,last_contacted,source_system,notes
1001,mariam ali,mariamal755@email.com,+46 70 658 21 85,SE,Täby,81426,Kungsgatan 58,,2024/01/20,1,website,VIP,high,,2,Rocky,Chihuahua,2020-12-19,n/a,AniCura,,1,,es,2024/10/05,excel,
1002,DAVID STONE,davidsto898@outlook.com,+34 671586053,NO,Täby,151 56,Birger Jarlsgatan 12,Floor 7,04-02-2024,no,instagram,trial,NULL,5026.59,two,Max,,NaN,Karin 65707197,n/a,UPTODATE,N,pay_on_arrival,,06/26/2024,export_v1,
1003,Erik Holm,erikholm707@gmail.com,+44 7655742829,España,Stockholm,,Kungsgatan 1,,2023/12/01,no,partner,vip,NaN,,1 ,,Poodle,22 Apr 2023,n/a,,unknown,N,,n/a,2024-01-09,excel,
1004,ahmed ali,ahmedali594@email.com,+34 673993471,Sweden,Täby,40828,,Floor 1,30/10/2023,no,instagram,trial,unknown,NaN,two,Rocky,,23 Dec 2020,Karin 65033115,AniCura,NULL,N,,es,11/01/2024,export_v2,prefers morning drop-off
1005, Ana Garcia ,anagarci342@gmail.com,+46 70 368 30 66,Portugal,Solna,,Parkvägen 6,,27/11/2023,FALSE,NULL,unknown,low,,two,Luna,Poodle,NULL,NULL,NaN,unknown,FALSE,net_14,SV,19 Jan 2024,excel,moved address
1006,Nora  Hansen,,+46 70 171 95 52,PT,Nacka,,,,03-10-2024,Yes,walk-in,vip,medium,NaN,3,,,2020.05.25,Karin 62846949,,,No,net_14,sv,,form,invoice required
1007,Sara Lind,saralind737@company.se,+34 673709724,UK,Nacka,45992,Skogsvägen 31,Floor 6,04-12-2024,no,website,returning,,,3,,Beagle,2024.02.01,Karin 63470105,,,yes,,n/a,n/a,excel,
1008,DAVID STONE,davidsto285@company.se,+34 682399599,PT,Stockholm,NaN,Storgatan 80,Floor 2,28/08/2024,FALSE,instagram,VIP,NULL,1594.0,2,Max,Chihuahua,16-04-2018,Jonas 66654757,Evidensia,up_to_date,No,,,05/06/2024,form,prefers morning drop-off
1009,MIKAEL ÅSTRÖM,mikaelås584@company.se,NaN,Portugal,Sundbyberg,171 11,Ringvägen 53,Floor 4,23-03-2024,N,email,corporate,low,,two,Charlie,Mixed,Jul 10 2024,,,expired,0,n/a,EN,NULL,export_v1,invoice required
1010,OSKAR BERG,oskarber67@company.se,,Sweden,Täby,,Ringvägen 49,Floor 5,04/03/2024,Y,phone,trial,low,5791.49,two,Charlie,NULL,11/29/2018,,AniCura,unknown,N,,es,24-01-2025,export_v2,prefers morning drop-off
1011,Fatima Khan,fatimakh27@email.com,+46 70 790 83 85,PT,Nacka,86720,Skogsvägen 45,Floor 6,10/25/2024,no,website,corporate,,,0,,Golden Retriever,12-07-2021,,,unknown,Y,pay_on_arrival,SV,2024.10.05,form,moved address
1012,Pedro Silva,,+46 70 908 63 53,United Kingdom,Huddinge,,,,22-02-2024,FALSE,email,trial,,,2,,mix,11 Apr 2022,,,,No,net_14,,,excel,
1013, maría lopez ,maríalóp333@email.com,,Sweden,Täby,148 89,Birger Jarlsgatan 117,NaN,09/14/2024,1,email,VIP,,,3,Rocky,Chihuahua,10 May 2021,,,unknown,no,,EN,02-10-2024,sheets,
1014,JONAS NILSSON,jonasnil806@outlook.com,,Sweden,Solna,,Birger Jarlsgatan 109,,15/11/2024,Yes,walk-in,vip,high,NaN,two,Charlie,Husky,Apr 13 2018,NULL,,,1,,EN,01/28/2024,export_v1,
1015,ANA GARCIA,anagarci844@company.se,+47 91358318,ES,NaN,,Kungsgatan 105,n/a,02/02/2024,TRUE,website,vip,medium,1044.3,0,Rocky,MIXED,NaN,Jonas 62126655,,,no,,sv,2025.01.30,export_v2,prefers morning drop-off
1016,MARIAM ALI,mariamal848@company.se,+47 96243275,Norway,Stockholm,22219,Storgatan 96,NULL,NULL,Yes,partner,unknown,,,0,Milo,Chihuahua,Jul 03 2021,NaN,,UPTODATE,no,net_14,,11/10/2024,form,
1017,Elin  Svensson,elinsven84@outlook.com,+34 669330166,Sweden,Sundbyberg,87743,,Apt 8,21/10/2024,1,website,VIP,high,2749.75,3,n/a,French Bulldog,14 Jun 2019,Jonas 68393009,Local Vet,up_to_date,Y,,sv,NaN,excel,
1018,emma  johansson,emmajoha203@gmail.com,,United Kingdom,Huddinge,,,n/a,2024.10.24,No,walk-in,trial,low,,0,Rocky,Mixed,NULL,,,,yes,NET14,,Apr 10 2024,form,
1019,Emma Johansson,emmajoha610@email.com,+44 7200344359,Sverige,Solna,143 72,Kungsgatan 20,Floor 9,05/32/2024,Yes,walk-in,VIP,unknown,,1,n/a,mix,2019.11.10,NaN,,expired,N,prepay,es,n/a,form,prefers morning drop-off
1020,Sofia Andersson,sofiaand383@gmail.com,+47 96346644,Spain,Nacka,NaN,Parkvägen 3,Floor 3,11/09/2024,n/a,n/a,new,high,2257.58,,,,16/02/2023,,,,NaN,,SV,05/32/2024,export_v1,
1021,Karin  Lund,NULL,,CN,Huddinge,124 46,n/a,,2024.04.21,0,website,unknown,,NaN,two,,Golden Retriever,10/30/2022,,Local Vet,,1,net_14,EN,12/10/2024,export_v1,
1022,Pedro Silva,pedrosil754@gmail.com,+44 7855954847,Norway,Solna,19706,Kungsgatan 116,Floor 6,18-01-2024,no,partner,vip,high,,1 ,Charlie,Golden Retriever,NaN,Karin 68288312,,,0,NET14,,10/02/2024,export_v2,allergic to peanuts
1023,LIN CHEN,linchen129@outlook.com,,United Kingdom,Stockholm,,Parkvägen 74,NULL,Oct 03 2024,Yes,phone,corporate,medium,,3,Max,mix,09/03/2018,NaN,Local Vet,,TRUE,n/a,,Aug 22 2024,form,allergic to peanuts
1024,ANA GARCÍA,anagarci482@outlook.com,+47 95437118,NO,Stockholm,35513,Skogsvägen 65,Floor 5,26 Oct 2024,No,NULL,new,,NaN,2,Luna,Poodle,03 Oct 2024,n/a,Local Vet,unknown,Yes,NET14,SV,n/a,excel,moved address
1025, fatima khan ,fatimakh971@email.com,+34 630324759,Portugal,Huddinge,107 27,Skogsvägen 68,,2024.04.28,Yes,phone,vip,high,,2,Milo,Poodle,04-05-2021,Karin 68204110,Local Vet,,n/a,net_14,sv,23 Oct 2024,export_v2,prefers morning drop-off
1026,Oscar Berg,oskarber667@gmail.com,+46 70 394 51 46,Portugal,Stockholm,122 63,,Apt 38,2024/08/29,n/a,partner,new,high,,,,NULL,29/02/2020,,Evidensia,NaN,0,net_14,es,04/15/2024,export_v2,prefers morning drop-off
1027,emma  johansson,NULL,,PT,Täby,NULL,Sveavägen 10,Apt 71,2024/11/14,No,partner,returning,high,,two,Charlie,mix,2024.07.16,,,UPTODATE,Yes,NET14,EN,NaN,excel,
1028,Maria Lopez,maríalóp229@email.com,+44 7671159367,España,Solna,135 34,Birger Jarlsgatan 79,Floor 2,2024/11/25,yes,instagram,unknown,low,2324.97,3,Charlie,German Shepherd,2020-06-08,n/a,,expired,No,,,n/a,export_v2,invoice required
