payment_id,booking_id,customer_email,amount_gross,currency,tax_amount,fee_amount,amount_net,status,payment_method,gateway,gateway_payment_ref,invoice_no,receipt_no,paid_at,refunded_at,refund_ref,country_of_card,card_brand,last4,installments,chargeback_flag,created_at,source_system,notes
900001,648,saralind@gmail.com,35,sek,,2.52,NaN,FAILED,card,manual,pi_8164L9HBBA6L,INV-202403-5626,,2024-02-30 12:00,NaN,NULL,NULL,NULL,7525,1,,2024/03/15 11:22,manual_sheet,duplicate
900002,310,user3786@gmail.com,20,€,5.0,"1,50",,failed,bank transfer,square,pi_4ANCK8L9YU0T,,,2024/02/05 09:25,,,SE,mastercard,,NaN,,,square_export,NaN
900003,714,erikholm288@gmail.com,60,sek,,3.24,56.76,payd,invoice,adyen,,INV-202402-7684,,Feb 03 2024 14:17,,,,,n/a,,no,,,partial refund
900004,1078,NULL,40,SEK,10.0,2.66,,paid,bank transfer,,pi_4ZLO0ALEB1NV,n/a,,13/03/2024 08:43,n/a,NaN,SE,visa,7868,1,,2024-03-13 08:43,square_export,
900005,831,davidsto777@company.se,60,€,,,56.76,Paid,SWISH,square,pi_EDUD3YND7KZP,,,2024-02-01T20:35:00,NaN,NULL,,amex,9456,1,yes,2024-02-01 20:35,square_export,
900006,406,jonasnil345@email.com,20,€,5.0,"1,50",,paid,swish,klarna,,,,,NaN,NULL,,amex,,1,,2024-03-21 19:13,pos,
900007,590,davidsto391@company.se,,Sek,6.25,,,payed,invoice,square,pi_W75QFGS2UPIV,n/a,,2024-02-25T17:20:00,,NULL,PT,,,,n/a,,,manual correction
900008,148,maríalóp700@gmail.com,35,€,,2.52,,paid,cash,manual,pi_OVVKCQ7EXA4J,INV-202401-2874,RCPT_YVJE7XF,18/01/2024 22:00,,,SE,n/a,,,n/a,2024-01-18 22:00,manual_sheet,duplicate
900009,672,,15,sek,,,,Paid,Card,square,n/a,NaN,,2024/01/24 13:14,,NaN,,,NULL,NULL,no,2024-01-24 13:14,manual_sheet,NULL
900010,661,mikaelås734@outlook.com,15,Sek,3.75,,NaN,FAILED,cash,manual,,,,2024-03-21T08:12:00,NaN,,NULL,NULL,,one,,,,
900011,864,fridakar136@outlook.com,15,SEK,3.75,,,payed,cash,klarna,,,NaN,,,,NO,mastercard,,1,n/a,2024/03/24 22:38,pos,
900012,1025,maríalóp21@company.se,NaN,SEK ,5.0,"1,50",,refunded,cash,n/a,,,,10/03/2024 19:31,NULL,,,,6101,n/a,NULL,2024/03/10 19:31,manual_sheet,
900013,643,user4788@email.com,40,SEK ,10.0,,37.34,refunded,card,square,pi_CU1U7RYEHHHN,,RCPT_1FALHC0,,,n/a,ES,,8187,,NaN,2024/01/22 07:57,,manual correction
900014,219,user1999@gmail.com,35,SEK,8.75,"1,50",,paid,Card,stripe,,INV-202404-8832,RCPT_ZGRLLCB,2024-04-29 12:59,,NULL,PT,amex,,NULL,n/a,,stripe_export,partial refund
900015,173,liamande@email.com,20,sek,,,,Refunded,invoice,stripe,,,,2024-02-02 08:51,,,SE,VISA,,,NaN,,stripe_export,partial refund
900016,45,karinlun@email.com,40,SEK ,10.0,,,n/a,swish,stripe,ch_9ZMPHW68G7,,RCPT_5D37KDL,,NULL,,NULL,VISA,,,n/a,,stripe_export,manual correction
900017,313,oscarber@gmail.com,15,EUR,3.75,1.94,,payd,cash,square,pi_KDJ9M77LLSJB,INV-202403-3617,,2024-03-17T21:42:00,,n/a,GB,,,3,,2024-03-17 21:42,pos,
900018,469,n/a,40,sek,10.0,2.66,,payed,card,adyen,ch_MM3QXGJ8PH,,,2024-01-21 20:07,,n/a,,,,,,,,manual correction
900019,526,user6344@gmail.com,15,€,3.75,"1,50",13.06,PAID,swish,manual,ch_4O9XQLK99L,,,,NaN,,SE,VISA,,one,0,2024/01/16 11:57,,
900020,251,ellaberg691@outlook.com,60,SEK ,15.0,NULL,,failed,SWISH,square,,INV-202404-1896,,2024/04/18 22:52,n/a,n/a,,,,NULL,n/a,n/a,manual_sheet,manual correction
900021,182,user1998@gmail.com,25,SEK ,,"1,50",,pending,,klarna,,,RCPT_8YAARTC,,,NULL,ES,,,,,2024-03-13 07:27,square_export,NaN
900022,919,user1278@email.com,15,SEK ,,1.94,,Refunded,invoice,manual,,,RCPT_E19PQVA,2024-03-14T09:20:00,NaN,n/a,ES,NaN,n/a,3,NaN,,square_export,
900023,998,user9217@email.com,35,SEK ,NaN,2.52,,PAID,SWISH,klarna,ch_J1B8I0X7PR,n/a,,Feb 26 2024 08:39,NaN,n/a,,,,3,NULL,,pos,partial refund
900024,641,oscarber650@outlook.com,40,SEK,10.0,,NaN,payd,card,square,ch_1OPHF7B7PY,,,2024-01-09 11:08,,NULL,,,,one,1,2024-01-09 11:08,pos,NULL
900025,916,oskarber667@gmail.com,60,€,15.0,3.24,56.76,FAILED,card,adyen,pi_3XDGHI37Z958,,RCPT_RWX4J2O,,,re_X6WRCO93QM,,mastercard,,2,NULL,,square_export,
900026,1095,maríalóp@gmail.com,25,€,,,,Refunded,Klarna,manual,,INV-202402-2880,,29/02/2024 14:21,2024-02-29 14:21,n/a,,visa,n/a,n/a,no,2024/02/29 14:21,pos,manual correction
900027,759,,60,€,15.0,,,Paid,Klarna,adyen,ch_BVZ78277R9,INV-202403-2710,,Mar 02 2024 14:49,,NULL,,NULL,,,n/a,2024/03/02 14:49,manual_sheet,manual correction
900028,1047,user9578@email.com,15.00,sek,,,13.06,refunded,swish,manual,ch_JIK8FN8U8D,,RCPT_FPCW7HL,2024-04-09 15:50,,NULL,,,,,,2024/04/09 15:50,stripe_export,n/a
900029,496,ellaberg952@outlook.com,15,Sek,3.75,"1,50",13.06,NULL,SWISH,manual,ch_GHHFJHN4TQ,,,2024-05-08 14:09,,NaN,,NaN,,,n/a,2024-05-08 14:09,square_export,manual correction
900030,392,anagarci517@outlook.com,60,€,15.0,,56.76,paid,invoice,manual,pi_S1LEP2SKIKT8,INV-202403-9542,,2024/03/01 18:16,,NULL,,VISA,,2,1,NULL,stripe_export,
900031,1021,,15,€,3.75,,,Pending,Card,square,ch_E5LCBUNAOW,n/a,NULL,2024-04-02 11:49,,re_PUDLXI5VOI,NO,,NULL,,no,,,NULL
900032,977,fridakar22@company.se,20,Sek,5.0,,,FAILED,bank_transfer,square,,,,yesterday,,re_FVU92W7AC9,ES,VISA,,,,,,
900033,1168,elinsven661@email.com,35,sek,,NULL,,refunded,bank_transfer,adyen,ch_KB2APPRU50,NaN,,2024/02/10 13:57,,,NaN,mastercard,,,1,,square_export,NaN
900034,192,ahmedali594@email.com,40,sek,,"1,50",37.34,Refunded,bank transfer,,,INV-202401-4380,,2024-01-21 15:21,,NaN,,amex,,3,n/a,2024/01/21 15:21,stripe_export,
900035,2581,ahmedali255@outlook.com,20,sek,,n/a,,payd,,klarna,,,,NULL,,,PT,n/a,NaN,NaN,n/a,,manual_sheet,manual correction
900036,1101,user2607@email.com,15,SEK,3.75,1.94,,Refunded,cash,adyen,,,NaN,NULL,n/a,NULL,NO,,NULL,one,yes,2024-03-15 09:55,stripe_export,
900037,1169,user9644@gmail.com,40,NULL,,NULL,,failed,SWISH,manual,,,,,NULL,,,amex,,2,1,,manual_sheet,NaN
900038,256,anagarci844@company.se,20,,,2.08,,Pending,bank_transfer,square,,,RCPT_HF0TV39,2024-03-25 13:45,n/a,n/a,,VISA,,,n/a,,square_export,
900039,1046,norahans@email.com,,Sek,3.75,,,Pending,cash,manual,ch_3C0NBH70RY,INV-202401-3229,RCPT_8FTG1A4,Jan 15 2024 14:58,n/a,,GB,visa,9564,NaN,NaN,2024/01/15 14:58,pos,duplicate
